model_id,source,url,license,license_verified,fragment_count,notes
live2d_029,CNbysec/Live2d-Model,https://github.com/CNbysec/Live2d-Model,,False,2,碧蓝航线/bulaimodun_4
live2d_030,CNbysec/Live2d-Model,https://github.com/CNbysec/Live2d-Model,,False,1,碧蓝航线/chaijun_3
live2d_031,CNbysec/Live2d-Model,https://github.com/CNbysec/Live2d-Model,,False,1,碧蓝航线/chaijun_4
live2d_032,CNbysec/Live2d-Model,https://github.com/CNbysec/Live2d-Model,,False,1,碧蓝航线/chaijun_4_hx
live2d_033,CNbysec/Live2d-Model,https://github.com/CNbysec/Live2d-Model,,False,1,碧蓝航线/chuixue_3
live2d_034,CNbysec/Live2d-Model,https://github.com/CNbysec/Live2d-Model,,False,1,碧蓝航线/dafeng_2
live2d_035,CNbysec/Live2d-Model,https://github.com/CNbysec/Live2d-Model,,False,1,碧蓝航线/dafeng_2_hx
live2d_036,CNbysec/Live2d-Model,https://github.com/CNbysec/Live2d-Model,,False,1,碧蓝航线/dafeng_4
live2d_037,CNbysec/Live2d-Model,https://github.com/CNbysec/Live2d-Model,,False,1,碧蓝航线/daofeng_4
live2d_038,CNbysec/Live2d-Model,https://github.com/CNbysec/Live2d-Model,,False,1,碧蓝航线/deyizhi_3
live2d_039,CNbysec/Live2d-Model,https://github.com/CNbysec/Live2d-Model,,False,1,碧蓝航线/dujiaoshou_4
live2d_040,CNbysec/Live2d-Model,https://github.com/CNbysec/Live2d-Model,,False,1,碧蓝航线/dujiaoshou_6
live2d_041,CNbysec/Live2d-Model,https://github.com/CNbysec/Live2d-Model,,False,1,碧蓝航线/dunkeerke_2
live2d_042,CNbysec/Live2d-Model,https://github.com/CNbysec/Live2d-Model,,False,1,碧蓝航线/edu_3
live2d_043,CNbysec/Live2d-Model,https://github.com/CNbysec/Live2d-Model,,False,1,碧蓝航线/edu_3_hx
live2d_044,CNbysec/Live2d-Model,https://github.com/CNbysec/Live2d-Model,,False,1,碧蓝航线/edu_4
live2d_045,CNbysec/Live2d-Model,https://github.com/CNbysec/Live2d-Model,,False,1,碧蓝航线/genaisennao_2
live2d_046,CNbysec/Live2d-Model,https://github.com/CNbysec/Live2d-Model,,False,1,碧蓝航线/guangrong_3
live2d_047,CNbysec/Live2d-Model,https://github.com/CNbysec/Live2d-Model,,False,1,碧蓝航线/heitaizi_2
live2d_048,CNbysec/Live2d-Model,https://github.com/CNbysec/Live2d-Model,,False,1,碧蓝航线/hemin_2
live2d_049,CNbysec/Live2d-Model,https://github.com/CNbysec/Live2d-Model,,False,1,碧蓝航线/hemin_3
live2d_050,CNbysec/Live2d-Model,https://github.com/CNbysec/Live2d-Model,,False,1,碧蓝航线/huangjiafangzhou_3
live2d_051,CNbysec/Live2d-Model,https://github.com/CNbysec/Live2d-Model,,False,1,碧蓝航线/huonululu_3
live2d_052,CNbysec/Live2d-Model,https://github.com/CNbysec/Live2d-Model,,False,2,碧蓝航线/huonululu_5
live2d_053,CNbysec/Live2d-Model,https://github.com/CNbysec/Live2d-Model,,False,1,碧蓝航线/jialisuoniye_4
live2d_054,CNbysec/Live2d-Model,https://github.com/CNbysec/Live2d-Model,,False,1,碧蓝航线/jianye_2
live2d_055,CNbysec/Live2d-Model,https://github.com/CNbysec/Live2d-Model,,False,1,碧蓝航线/jianye_2_hx
live2d_056,CNbysec/Live2d-Model,https://github.com/CNbysec/Live2d-Model,,False,1,碧蓝航线/junhe_5
live2d_057,CNbysec/Live2d-Model,https://github.com/CNbysec/Live2d-Model,,False,1,碧蓝航线/kelifulan_3
live2d_058,CNbysec/Live2d-Model,https://github.com/CNbysec/Live2d-Model,,False,1,碧蓝航线/kubo_2
live2d_059,CNbysec/Live2d-Model,https://github.com/CNbysec/Live2d-Model,,False,1,碧蓝航线/lafei_4
live2d_060,CNbysec/Live2d-Model,https://github.com/CNbysec/Live2d-Model,,False,1,碧蓝航线/lingbo_10
live2d_061,CNbysec/Live2d-Model,https://github.com/CNbysec/Live2d-Model,,False,1,碧蓝航线/linuo_3
live2d_062,CNbysec/Live2d-Model,https://github.com/CNbysec/Live2d-Model,,False,1,碧蓝航线/linuo_3_hx
live2d_063,CNbysec/Live2d-Model,https://github.com/CNbysec/Live2d-Model,,False,1,碧蓝航线/lisailiu_2
live2d_064,CNbysec/Live2d-Model,https://github.com/CNbysec/Live2d-Model,,False,1,碧蓝航线/lisailiu_3
live2d_065,CNbysec/Live2d-Model,https://github.com/CNbysec/Live2d-Model,,False,2,碧蓝航线/longfeng_2
live2d_066,CNbysec/Live2d-Model,https://github.com/CNbysec/Live2d-Model,,False,2,碧蓝航线/longfeng_2_hx
live2d_067,CNbysec/Live2d-Model,https://github.com/CNbysec/Live2d-Model,,False,1,碧蓝航线/luyijiushi_2
live2d_068,CNbysec/Live2d-Model,https://github.com/CNbysec/Live2d-Model,,False,1,碧蓝航线/nengdai_2
live2d_069,CNbysec/Live2d-Model,https://github.com/CNbysec/Live2d-Model,,False,1,碧蓝航线/ninghai_4
live2d_070,CNbysec/Live2d-Model,https://github.com/CNbysec/Live2d-Model,,False,2,碧蓝航线/ouruola_4
live2d_071,CNbysec/Live2d-Model,https://github.com/CNbysec/Live2d-Model,,False,1,碧蓝航线/pinghai_4
live2d_072,CNbysec/Live2d-Model,https://github.com/CNbysec/Live2d-Model,,False,2,碧蓝航线/pinghai_6
live2d_073,CNbysec/Live2d-Model,https://github.com/CNbysec/Live2d-Model,,False,2,碧蓝航线/qibolin_2
live2d_074,CNbysec/Live2d-Model,https://github.com/CNbysec/Live2d-Model,,False,1,碧蓝航线/rangbaer_3
live2d_075,CNbysec/Live2d-Model,https://github.com/CNbysec/Live2d-Model,,False,2,碧蓝航线/rangbaer_4
live2d_076,CNbysec/Live2d-Model,https://github.com/CNbysec/Live2d-Model,,False,2,碧蓝航线/shengluyisi_2
live2d_077,CNbysec/Live2d-Model,https://github.com/CNbysec/Live2d-Model,,False,2,碧蓝航线/shengluyisi_2_hx
live2d_078,CNbysec/Live2d-Model,https://github.com/CNbysec/Live2d-Model,,False,1,碧蓝航线/shengluyisi_3
live2d_079,CNbysec/Live2d-Model,https://github.com/CNbysec/Live2d-Model,,False,1,碧蓝航线/shengluyisi_4
live2d_080,CNbysec/Live2d-Model,https://github.com/CNbysec/Live2d-Model,,False,1,碧蓝航线/shitelasai_2
live2d_081,CNbysec/Live2d-Model,https://github.com/CNbysec/Live2d-Model,,False,1,碧蓝航线/sipeibojue_5
live2d_082,CNbysec/Live2d-Model,https://github.com/CNbysec/Live2d-Model,,False,2,碧蓝航线/taiyuan_2
live2d_083,CNbysec/Live2d-Model,https://github.com/CNbysec/Live2d-Model,,False,1,碧蓝航线/tianlangxing_3
live2d_084,CNbysec/Live2d-Model,https://github.com/CNbysec/Live2d-Model,,False,2,碧蓝航线/tierbici_2
live2d_085,CNbysec/Live2d-Model,https://github.com/CNbysec/Live2d-Model,,False,1,碧蓝航线/weineituo_2
live2d_086,CNbysec/Live2d-Model,https://github.com/CNbysec/Live2d-Model,,False,2,碧蓝航线/weixi_2
live2d_087,CNbysec/Live2d-Model,https://github.com/CNbysec/Live2d-Model,,False,1,碧蓝航线/weiyan_2
live2d_088,CNbysec/Live2d-Model,https://github.com/CNbysec/Live2d-Model,,False,1,碧蓝航线/wuqi_2
live2d_089,CNbysec/Live2d-Model,https://github.com/CNbysec/Live2d-Model,,False,1,碧蓝航线/xianghe_2
live2d_090,CNbysec/Live2d-Model,https://github.com/CNbysec/Live2d-Model,,False,1,碧蓝航线/xixuegui_4
live2d_091,CNbysec/Live2d-Model,https://github.com/CNbysec/Live2d-Model,,False,1,碧蓝航线/xuefeng_3
live2d_092,CNbysec/Live2d-Model,https://github.com/CNbysec/Live2d-Model,,False,1,碧蓝航线/xukufu_2
live2d_093,CNbysec/Live2d-Model,https://github.com/CNbysec/Live2d-Model,,False,1,碧蓝航线/xukufu_3
live2d_094,CNbysec/Live2d-Model,https://github.com/CNbysec/Live2d-Model,,False,1,碧蓝航线/xukufu_3_hx
live2d_095,CNbysec/Live2d-Model,https://github.com/CNbysec/Live2d-Model,,False,1,碧蓝航线/yichui_2
live2d_096,CNbysec/Live2d-Model,https://github.com/CNbysec/Live2d-Model,,False,2,碧蓝航线/z46_2
live2d_097,CNbysec/Live2d-Model,https://github.com/CNbysec/Live2d-Model,,False,1,碧蓝航线/z46_3
live2d_098,CNbysec/Live2d-Model,https://github.com/CNbysec/Live2d-Model,,False,2,碧蓝航线/z46_4
live2d_099,CNbysec/Live2d-Model,https://github.com/CNbysec/Live2d-Model,,False,1,碧蓝航线/zhala_2
